"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AMOTL1",18038.7871520629,-1.17526385145143,0.0878771509172128,1.73342836603421e-41,4.61662152064452e-39
"NCKAP5",5136.83326141849,-2.64420479754389,0.199359061620305,2.37793012424922e-41,6.25086800583486e-39
"EMCN",7716.43377687984,-2.23132484452975,0.169910302271337,3.45054017449668e-41,8.95415175281888e-39
"DNAH14",595.601906209096,1.72979670977559,0.130474017257396,5.24663429338209e-41,1.34426740167528e-38
"CA10",265.254593862597,5.67890887295094,0.431040544955359,6.8186365427443e-41,1.72520027827109e-38
"GRHL3",180.542336919379,3.2253340789623,0.244882779058017,8.92844595083722e-41,2.23111943815921e-38
"NDRG4",2966.58913585905,-2.58530377717089,0.196387297891482,1.06546847679769e-40,2.63001798034902e-38
"PDLIM2",7751.45445296669,-1.41302970420793,0.106252113427029,1.18784082339777e-40,2.89675736221618e-38
"CCDC85A",2246.68224515281,-2.47887327291223,0.188474448423909,1.2883299429676e-40,3.10441504471515e-38
"SGPP2",3249.31078857459,2.3402808595432,0.177866072486726,1.6898481394451e-40,4.02402543417745e-38
"ARHGEF15",4862.79894606471,-2.10986568443559,0.161028746265236,3.71377101928586e-40,8.72643197621599e-38
"EMP2",105593.081546164,-1.8175173666183,0.138731518465883,3.75080076049005e-40,8.72643197621599e-38
"LOC645249",91.3662025754802,5.98105514450445,0.460238561678681,7.10532283296449e-40,1.63430499388675e-37
"C10orf67",332.732873292395,-2.86909617686995,0.22161327483088,1.5830367912877e-39,3.60025254971397e-37
"CA9",1693.96361898874,7.15907310887066,0.553804254845262,1.76456016679239e-39,3.96849581511608e-37
"AKAP2",44198.9122956492,-1.95578844732083,0.151991472457137,2.19917596058359e-39,4.89159567232665e-37
"FERMT2",13067.6759320943,-1.38474143597331,0.105717589968357,2.45100672058871e-39,5.39248119906915e-37
"B3GNT6",1093.47235448487,5.09260510722491,0.394649396434345,2.52044742108589e-39,5.48563185486016e-37
"CLEC14A",9277.50556365165,-1.88747417125879,0.146137655760951,2.7246190441884e-39,5.86691639078909e-37
"GATA2",4355.18674729394,-2.07132359850306,0.160213158619339,2.94816472477468e-39,6.28145286254361e-37
"TRIM2",14307.7880932521,1.68709750837599,0.129934212405475,3.55606286849336e-39,7.49773630428896e-37
"RASIP1",4324.00974178823,-2.07101558839051,0.1606709798998,4.89764401106614e-39,1.02199188070093e-36
"SH3GL3",283.4822737077,-3.26436300652267,0.25405239312174,5.19478641510751e-39,1.07293542681828e-36
"FZD4",13603.8208771021,-1.79885881550908,0.140524301447946,5.25929391064342e-39,1.07528654591246e-36
"NELL1",1287.28386178134,6.72581949979784,0.525168079739463,7.55248174637665e-39,1.51356220820208e-36
"CLEC3B",11197.1026107279,-2.81063186979468,0.21918972795161,9.08631826864215e-39,1.80309968701555e-36
"MSL3P1",521.686496802438,2.60378189536143,0.203042255193578,9.26876095347343e-39,1.82144650931316e-36
"LMO2",4177.62942208017,-1.60531327963304,0.124915252021007,1.60493569399868e-38,3.10488884719961e-36
"GIMAP1",3256.17346033206,-1.65149498263857,0.128874217660838,1.61065821330942e-38,3.10488884719961e-36
"C2CD4A",571.913785640687,4.00982174393113,0.31328744868378,1.64602781188008e-38,3.1431366924778e-36
"STX2",2974.07392473675,-1.08836121107203,0.0845860762608747,1.78797359965507e-38,3.38227790940357e-36
"CBLC",495.973308414576,2.67089882527502,0.209278152529723,1.95227592149682e-38,3.6588904562053e-36
"RTKN2",20180.6183474297,-2.96448863589989,0.23247518046505,2.27819892898558e-38,4.23055270840342e-36
"GRK5",9151.19130373419,-1.95838972723495,0.153682871471966,3.24831879834189e-38,5.97720189065802e-36
"GYLTL1B",1424.72769712578,2.22918950307308,0.17498968726099,3.57862826721419e-38,6.52567700510652e-36
"FOXF1",4369.70491888184,-2.25839100675896,0.1780350720529,6.07309347423894e-38,1.09754897332206e-35
"FAM124A",535.417111075071,-1.57701468029078,0.124189601340902,8.68537660568515e-38,1.55575847677587e-35
"CLIC5",30256.5194277764,-2.25141890984157,0.178476899998441,1.46723809505225e-37,2.60511984929409e-35
"MANEAL",1665.61437852704,1.7533631171504,0.138329297134535,1.6817065718489e-37,2.95994980180814e-35
"STK39",5152.62396101746,1.54820593768688,0.121941956889413,2.09754197592585e-37,3.66002992540648e-35
"STARD13",5458.23641614706,-1.59535826122435,0.126241001725796,2.51083133245202e-37,4.34373820514199e-35
"CDH5",24034.6400382741,-2.25235813301324,0.179825606610416,4.84049814594205e-37,8.30309516711975e-35
"GNG11",8330.52499269538,-1.90294593228051,0.152839848146016,6.10379292378315e-37,1.03820901319575e-34
"SPTBN2",5006.98636497389,2.84876950878703,0.228555112879455,1.017597240139e-36,1.71643214480446e-34
"SLC50A1",4626.13033715324,1.66052724510355,0.132439002332812,1.21077848462436e-36,2.02540225680013e-34
"EFNA4",903.086542519656,1.92909484414287,0.154776944235215,1.43155382185032e-36,2.37508859902232e-34
"LOC400550",6057.08943959836,-2.99098825662089,0.240877778630249,1.54508387464515e-36,2.54260509810509e-34
"MYCT1",3257.82299941381,-1.92404753141186,0.155048517189539,2.57634712135959e-36,4.20547113576124e-34
"EPHA10",647.886173198347,2.80202908859912,0.226376509684857,3.00295705401978e-36,4.86262829843315e-34
"KANK3",4242.60315996612,-2.18086714897469,0.176323618650703,3.47382308615036e-36,5.58044865768011e-34
"FEZF1",133.004592754815,5.9539217905768,0.482750976769809,3.59475182364225e-36,5.72924186317659e-34
"STXBP6",2267.76947560355,-2.66901542039749,0.216186376051236,3.77148719734157e-36,5.96395877823366e-34
"TRIM54",106.0754502089,4.80142469481137,0.389681530311216,4.37311362680943e-36,6.8617203814147e-34
"SASH1",14297.6360934947,-1.52499167253645,0.123392269733697,6.49635676579202e-36,1.01148274843382e-33
"IL1RL2",140.476857855957,2.00694132471269,0.162845200750862,6.66530514832011e-36,1.02986596570341e-33
"SPRYD7",2585.24271814032,-1.1571773493368,0.0935334359615602,7.9862573101695e-36,1.22461995617531e-33
"C1orf106",5732.20433692405,2.51617737292907,0.204530363418967,8.20826580308006e-36,1.24919930917401e-33
